entrez_gene_symbol	gene_long_name	category_sources	category
IGLL1	IMMUNOGLOBULIN LAMBDA LIKE POLYPEPTIDE 1	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
EXTL3	EXOSTOSIN LIKE GLYCOSYLTRANSFERASE 3	HumanProteinAtlas	ENZYME
PCSK5	PROPROTEIN CONVERTASE SUBTILISIN/KEXIN TYPE 5	dGene,GO	PROTEASE
PCSK5	PROPROTEIN CONVERTASE SUBTILISIN/KEXIN TYPE 5	GuideToPharmacology	ENZYME
PCSK5	PROPROTEIN CONVERTASE SUBTILISIN/KEXIN TYPE 5	HingoraniCasas	DRUGGABLE GENOME
LIN7B	LIN-7 HOMOLOG B, CRUMBS CELL POLARITY COMPLEX COMPONENT	Pharos	TRANSPORTER
FHOD3	FORMIN HOMOLOGY 2 DOMAIN CONTAINING 3	Pharos	KINASE
MKL2	MKL1/MYOCARDIN LIKE 2	Pharos	TRANSCRIPTION FACTOR
DNA2	DNA REPLICATION HELICASE/NUCLEASE 2	HumanProteinAtlas,Pharos	ENZYME
KCNK12	POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 12	Pharos,GuideToPharmacology,BaderLabGenes,IDG	ION CHANNEL
KCNK12	POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 12	HingoraniCasas	DRUGGABLE GENOME
GPR18	G PROTEIN-COUPLED RECEPTOR 18	dGene,HopkinsGroom,GO,Pharos,GuideToPharmacology,IDG	G PROTEIN COUPLED RECEPTOR
GPR18	G PROTEIN-COUPLED RECEPTOR 18	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
PSMB2	PROTEASOME SUBUNIT BETA 2	HingoraniCasas	DRUGGABLE GENOME
PSMB2	PROTEASOME SUBUNIT BETA 2	GuideToPharmacology	ENZYME
PSMB2	PROTEASOME SUBUNIT BETA 2	dGene	PROTEASE
SATB2	SATB HOMEOBOX 2	GO	TRANSCRIPTION FACTOR COMPLEX
SATB2	SATB HOMEOBOX 2	Pharos	ENZYME
SATB2	SATB HOMEOBOX 2	Pharos	TRANSCRIPTION FACTOR
AKT3	AKT SERINE/THREONINE KINASE 3	CarisMolecularIntelligence,MskImpact,Oncomine,Tempus,FoundationOneGenes	CLINICALLY ACTIONABLE
AKT3	AKT SERINE/THREONINE KINASE 3	HumanProteinAtlas,GuideToPharmacology	ENZYME
AKT3	AKT SERINE/THREONINE KINASE 3	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
AKT3	AKT SERINE/THREONINE KINASE 3	HopkinsGroom,Pharos,dGene	KINASE
AKT3	AKT SERINE/THREONINE KINASE 3	GO,dGene	SERINE THREONINE KINASE
AKT3	AKT SERINE/THREONINE KINASE 3	CIViC	DRUG RESISTANCE
AREG	AMPHIREGULIN	GO	GROWTH FACTOR
AREG	AMPHIREGULIN	GO	CELL SURFACE
AREG	AMPHIREGULIN	CIViC	DRUG RESISTANCE
AREG	AMPHIREGULIN	HingoraniCasas,HingoraniCasas	DRUGGABLE GENOME
LY6G6C	LYMPHOCYTE ANTIGEN 6 FAMILY MEMBER G6C	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
RMND5B	REQUIRED FOR MEIOTIC NUCLEAR DIVISION 5 HOMOLOG B	Pharos	TRANSCRIPTION FACTOR
RMND5B	REQUIRED FOR MEIOTIC NUCLEAR DIVISION 5 HOMOLOG B	Pharos	ENZYME
ANXA4	ANNEXIN A4	GO	CELL SURFACE
GJA3	GAP JUNCTION PROTEIN ALPHA 3	GuideToPharmacology	ION CHANNEL
GJA3	GAP JUNCTION PROTEIN ALPHA 3	HumanProteinAtlas	TRANSPORTER
GRAMD1B	GRAM DOMAIN CONTAINING 1B	Pharos	TRANSPORTER
IGSF5	IMMUNOGLOBULIN SUPERFAMILY MEMBER 5	GO	CELL SURFACE
MSRB3	METHIONINE SULFOXIDE REDUCTASE B3	Pharos,HumanProteinAtlas	ENZYME
EIF4A2	EUKARYOTIC TRANSLATION INITIATION FACTOR 4A2	CarisMolecularIntelligence,FoundationOneGenes	CLINICALLY ACTIONABLE
IGLC7	IMMUNOGLOBULIN LAMBDA CONSTANT 7	HingoraniCasas	DRUGGABLE GENOME
IGLC7	IMMUNOGLOBULIN LAMBDA CONSTANT 7	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
GUCY2C	GUANYLATE CYCLASE 2C	HopkinsGroom	KINASE
GUCY2C	GUANYLATE CYCLASE 2C	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
FZD2	FRIZZLED CLASS RECEPTOR 2	GuideToPharmacology,GO,dGene	G PROTEIN COUPLED RECEPTOR
FZD2	FRIZZLED CLASS RECEPTOR 2	Pharos	KINASE
IDH3G	ISOCITRATE DEHYDROGENASE 3 (NAD(+)) GAMMA	Pharos	ENZYME
PCYT1A	PHOSPHATE CYTIDYLYLTRANSFERASE 1, CHOLINE, ALPHA	HumanProteinAtlas	ENZYME
FBXW2	F-BOX AND WD REPEAT DOMAIN CONTAINING 2	Pharos	ENZYME
TBX19	T-BOX 19	Pharos	TRANSCRIPTION FACTOR
LGALS7	GALECTIN 7	HingoraniCasas	DRUGGABLE GENOME
MAP3K10	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 10	dGene,IDG,HopkinsGroom,Pharos	KINASE
MAP3K10	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 10	dGene,GO	SERINE THREONINE KINASE
MAP3K10	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 10	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
MAP3K10	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 10	GuideToPharmacology	ENZYME
OR11H6	OLFACTORY RECEPTOR FAMILY 11 SUBFAMILY H MEMBER 6	GO,Pharos,HopkinsGroom,dGene	G PROTEIN COUPLED RECEPTOR
OR11H6	OLFACTORY RECEPTOR FAMILY 11 SUBFAMILY H MEMBER 6	HopkinsGroom,RussLampel	DRUGGABLE GENOME
HS3ST6	HEPARAN SULFATE-GLUCOSAMINE 3-SULFOTRANSFERASE 6	Pharos	ENZYME
CSNK2A1	CASEIN KINASE 2 ALPHA 1	Pharos	TRANSCRIPTION FACTOR
CSNK2A1	CASEIN KINASE 2 ALPHA 1	Pharos,BaderLabGenes,HopkinsGroom,dGene,GO	KINASE
CSNK2A1	CASEIN KINASE 2 ALPHA 1	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
CSNK2A1	CASEIN KINASE 2 ALPHA 1	GuideToPharmacology,HumanProteinAtlas	ENZYME
CSNK2A1	CASEIN KINASE 2 ALPHA 1	dGene,GO	SERINE THREONINE KINASE
CSNK2A1	CASEIN KINASE 2 ALPHA 1	GO	TUMOR SUPPRESSOR
STX1A	SYNTAXIN 1A	HingoraniCasas	DRUGGABLE GENOME
STX1A	SYNTAXIN 1A	Pharos	ION CHANNEL
OBP2B	ODORANT BINDING PROTEIN 2B	HingoraniCasas	DRUGGABLE GENOME
ASMTL	ACETYLSEROTONIN O-METHYLTRANSFERASE LIKE	FoundationOneGenes	CLINICALLY ACTIONABLE
C1QA	COMPLEMENT C1Q A CHAIN	GO	CELL SURFACE
C1QA	COMPLEMENT C1Q A CHAIN	HingoraniCasas	DRUGGABLE GENOME
SETD5	SET DOMAIN CONTAINING 5	BaderLabGenes	METHYL TRANSFERASE
INPP5A	INOSITOL POLYPHOSPHATE-5-PHOSPHATASE A	HopkinsGroom,RussLampel	DRUGGABLE GENOME
INPP5A	INOSITOL POLYPHOSPHATE-5-PHOSPHATASE A	GuideToPharmacology	ENZYME
RBM23	RNA BINDING MOTIF PROTEIN 23	Pharos	NUCLEAR HORMONE RECEPTOR
ACOT8	ACYL-COA THIOESTERASE 8	Pharos	ENZYME
PLK4	POLO LIKE KINASE 4	RussLampel,HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME
PLK4	POLO LIKE KINASE 4	dGene,GO	SERINE THREONINE KINASE
PLK4	POLO LIKE KINASE 4	dGene,HopkinsGroom,Pharos	KINASE
PLK4	POLO LIKE KINASE 4	HumanProteinAtlas,GuideToPharmacology	ENZYME
CTRL	CHYMOTRYPSIN LIKE	HopkinsGroom,dGene	PROTEASE
CTRL	CHYMOTRYPSIN LIKE	HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
CTRL	CHYMOTRYPSIN LIKE	GuideToPharmacology,Pharos	ENZYME
LY96	LYMPHOCYTE ANTIGEN 96	HingoraniCasas	DRUGGABLE GENOME
OR5H14	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY H MEMBER 14	Pharos,dGene,HopkinsGroom,GO	G PROTEIN COUPLED RECEPTOR
OR5H14	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY H MEMBER 14	HopkinsGroom,RussLampel	DRUGGABLE GENOME
TRAV29DV5	T CELL RECEPTOR ALPHA VARIABLE 29/DELTA VARIABLE 5 (GENE/PSEUDOGENE)	HingoraniCasas	DRUGGABLE GENOME
TRAV29DV5	T CELL RECEPTOR ALPHA VARIABLE 29/DELTA VARIABLE 5 (GENE/PSEUDOGENE)	Pharos	KINASE
TRAV29DV5	T CELL RECEPTOR ALPHA VARIABLE 29/DELTA VARIABLE 5 (GENE/PSEUDOGENE)	Pharos	TRANSCRIPTION FACTOR
GABRG1	GAMMA-AMINOBUTYRIC ACID TYPE A RECEPTOR GAMMA1 SUBUNIT	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
GABRG1	GAMMA-AMINOBUTYRIC ACID TYPE A RECEPTOR GAMMA1 SUBUNIT	HopkinsGroom,Pharos,GuideToPharmacology	ION CHANNEL
HLF	HLF, PAR BZIP TRANSCRIPTION FACTOR	FoundationOneGenes,CarisMolecularIntelligence	CLINICALLY ACTIONABLE
HLF	HLF, PAR BZIP TRANSCRIPTION FACTOR	Pharos	TRANSCRIPTION FACTOR
CRELD2	CYSTEINE RICH WITH EGF LIKE DOMAINS 2	HingoraniCasas	DRUGGABLE GENOME
BRCC3	BRCA1/BRCA2-CONTAINING COMPLEX SUBUNIT 3	GO	NEUTRAL ZINC METALLOPEPTIDASE
BRCC3	BRCA1/BRCA2-CONTAINING COMPLEX SUBUNIT 3	GO	DNA REPAIR
BRCC3	BRCA1/BRCA2-CONTAINING COMPLEX SUBUNIT 3	HumanProteinAtlas	ENZYME
BRCC3	BRCA1/BRCA2-CONTAINING COMPLEX SUBUNIT 3	dGene	PROTEASE
IGKV3D-15	IMMUNOGLOBULIN KAPPA VARIABLE 3D-15 (GENE/PSEUDOGENE)	HingoraniCasas	DRUGGABLE GENOME
CSTL1	CYSTATIN LIKE 1	dGene	PROTEASE INHIBITOR
BEX2	BRAIN EXPRESSED X-LINKED 2	GO	TUMOR SUPPRESSOR
BEX2	BRAIN EXPRESSED X-LINKED 2	Pharos	TRANSCRIPTION FACTOR
AATF	APOPTOSIS ANTAGONIZING TRANSCRIPTION FACTOR	Pharos	KINASE
AATF	APOPTOSIS ANTAGONIZING TRANSCRIPTION FACTOR	Pharos	TRANSCRIPTION FACTOR
PTOV1	PROSTATE TUMOR OVEREXPRESSED 1	GO	TRANSCRIPTION FACTOR COMPLEX
HSP90AB2P	HEAT SHOCK PROTEIN 90 ALPHA FAMILY CLASS B MEMBER 2, PSEUDOGENE	GO	CELL SURFACE
HSP90AB2P	HEAT SHOCK PROTEIN 90 ALPHA FAMILY CLASS B MEMBER 2, PSEUDOGENE	HopkinsGroom	DRUGGABLE GENOME
BST2	BONE MARROW STROMAL CELL ANTIGEN 2	HingoraniCasas	DRUGGABLE GENOME
BST2	BONE MARROW STROMAL CELL ANTIGEN 2	GO	CELL SURFACE
COMTD1	CATECHOL-O-METHYLTRANSFERASE DOMAIN CONTAINING 1	RussLampel	DRUGGABLE GENOME
VPREB1	V-SET PRE-B CELL SURROGATE LIGHT CHAIN 1	HingoraniCasas	DRUGGABLE GENOME
GGTA1P	GLYCOPROTEIN, ALPHA-GALACTOSYLTRANSFERASE 1 PSEUDOGENE	Pharos	ENZYME
SLC24A1	SOLUTE CARRIER FAMILY 24 MEMBER 1	HumanProteinAtlas,GuideToPharmacology	TRANSPORTER
SLC24A1	SOLUTE CARRIER FAMILY 24 MEMBER 1	HingoraniCasas	DRUGGABLE GENOME
TRIP4	THYROID HORMONE RECEPTOR INTERACTOR 4	Pharos	TRANSCRIPTION FACTOR
TRIP4	THYROID HORMONE RECEPTOR INTERACTOR 4	Pharos	NUCLEAR HORMONE RECEPTOR
HIGD2A	HIG1 HYPOXIA INDUCIBLE DOMAIN FAMILY MEMBER 2A	Pharos	ENZYME
FAM3C	FAMILY WITH SEQUENCE SIMILARITY 3 MEMBER C	HingoraniCasas	DRUGGABLE GENOME
DNPH1	2'-DEOXYNUCLEOSIDE 5'-PHOSPHATE N-HYDROLASE 1	Pharos	TRANSCRIPTION FACTOR
TRIM11	TRIPARTITE MOTIF CONTAINING 11	HopkinsGroom	B30_2 SPRY DOMAIN
TRIM11	TRIPARTITE MOTIF CONTAINING 11	HopkinsGroom	DRUGGABLE GENOME
TRIM11	TRIPARTITE MOTIF CONTAINING 11	GO	TRANSCRIPTION FACTOR BINDING
LHX4	LIM HOMEOBOX 4	Pharos	TRANSCRIPTION FACTOR
TRNT1	TRNA NUCLEOTIDYL TRANSFERASE 1	HumanProteinAtlas,Pharos	ENZYME
HSFX3	HEAT SHOCK TRANSCRIPTION FACTOR FAMILY, X-LINKED MEMBER 3	Pharos	TRANSCRIPTION FACTOR
C3ORF70	CHROMOSOME 3 OPEN READING FRAME 70	Tempus	CLINICALLY ACTIONABLE
ARHGAP12	RHO GTPASE ACTIVATING PROTEIN 12	Pharos	ENZYME
VPS26A	VPS26, RETROMER COMPLEX COMPONENT A	Pharos	ENZYME
NRM	NURIM	Pharos	ENZYME
WFDC2	WAP FOUR-DISULFIDE CORE DOMAIN 2	HingoraniCasas	DRUGGABLE GENOME
WFDC2	WAP FOUR-DISULFIDE CORE DOMAIN 2	dGene	PROTEASE INHIBITOR
CD86	CD86 MOLECULE	GO	CELL SURFACE
CD86	CD86 MOLECULE	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
CD86	CD86 MOLECULE	HingoraniCasas	DRUGGABLE GENOME
STK38L	SERINE/THREONINE KINASE 38 LIKE	dGene,GO	SERINE THREONINE KINASE
STK38L	SERINE/THREONINE KINASE 38 LIKE	dGene,HopkinsGroom,IDG,Pharos	KINASE
STK38L	SERINE/THREONINE KINASE 38 LIKE	GuideToPharmacology	ENZYME
STK38L	SERINE/THREONINE KINASE 38 LIKE	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
B3GALT1	BETA-1,3-GALACTOSYLTRANSFERASE 1	Pharos	ENZYME
CD151	CD151 MOLECULE (RAPH BLOOD GROUP)	GO,HumanProteinAtlas	CELL SURFACE
CD151	CD151 MOLECULE (RAPH BLOOD GROUP)	HumanProteinAtlas	TRANSPORTER
CD151	CD151 MOLECULE (RAPH BLOOD GROUP)	HingoraniCasas	DRUGGABLE GENOME
SMC6	STRUCTURAL MAINTENANCE OF CHROMOSOMES 6	GO	DNA REPAIR
ABCC13	ATP BINDING CASSETTE SUBFAMILY C MEMBER 13 (PSEUDOGENE)	HopkinsGroom,RussLampel	DRUGGABLE GENOME
ABCC13	ATP BINDING CASSETTE SUBFAMILY C MEMBER 13 (PSEUDOGENE)	HopkinsGroom	ABC TRANSPORTER
SLC22A10	SOLUTE CARRIER FAMILY 22 MEMBER 10	HingoraniCasas,RussLampel	DRUGGABLE GENOME
SLC22A10	SOLUTE CARRIER FAMILY 22 MEMBER 10	GuideToPharmacology	TRANSPORTER
CLEC1B	C-TYPE LECTIN DOMAIN FAMILY 1 MEMBER B	Pharos	KINASE
IGHV3-38	IMMUNOGLOBULIN HEAVY VARIABLE 3-38 (NON-FUNCTIONAL)	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
PTDSS1	PHOSPHATIDYLSERINE SYNTHASE 1	HumanProteinAtlas	ENZYME
BEST4	BESTROPHIN 4	Pharos,IDG	ION CHANNEL
PRDM1	PR/SET DOMAIN 1	BaderLabGenes	METHYL TRANSFERASE
PRDM1	PR/SET DOMAIN 1	MskImpact,CarisMolecularIntelligence,FoundationOneGenes,Tempus	CLINICALLY ACTIONABLE
PRDM1	PR/SET DOMAIN 1	Pharos	TRANSCRIPTION FACTOR
SOX4	SRY-BOX 4	Pharos	TRANSCRIPTION FACTOR
INSR	INSULIN RECEPTOR	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
INSR	INSULIN RECEPTOR	Pharos	TRANSPORTER
INSR	INSULIN RECEPTOR	Pharos	TRANSCRIPTION FACTOR
INSR	INSULIN RECEPTOR	Pharos,HopkinsGroom,dGene	KINASE
INSR	INSULIN RECEPTOR	Pharos	ENZYME
INSR	INSULIN RECEPTOR	CarisMolecularIntelligence,MskImpact	CLINICALLY ACTIONABLE
INSR	INSULIN RECEPTOR	dGene,GO	TYROSINE KINASE
INSR	INSULIN RECEPTOR	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
SLC35G6	SOLUTE CARRIER FAMILY 35 MEMBER G6	GuideToPharmacology	TRANSPORTER
UBE2L6	UBIQUITIN CONJUGATING ENZYME E2 L6	Pharos	ENZYME
AK5	ADENYLATE KINASE 5	Pharos	KINASE
AK5	ADENYLATE KINASE 5	Pharos	ENZYME
OR4S1	OLFACTORY RECEPTOR FAMILY 4 SUBFAMILY S MEMBER 1	GO,Pharos,HopkinsGroom,dGene	G PROTEIN COUPLED RECEPTOR
OR4S1	OLFACTORY RECEPTOR FAMILY 4 SUBFAMILY S MEMBER 1	HopkinsGroom,RussLampel	DRUGGABLE GENOME
MTRNR2L7	MT-RNR2-LIKE 7	HingoraniCasas	DRUGGABLE GENOME
MXI1	MAX INTERACTOR 1, DIMERIZATION PROTEIN	Pharos	TRANSCRIPTION FACTOR
SMYD4	SET AND MYND DOMAIN CONTAINING 4	BaderLabGenes	METHYL TRANSFERASE
WNT1	WNT FAMILY MEMBER 1	GO	CELL SURFACE
WNT1	WNT FAMILY MEMBER 1	HingoraniCasas	DRUGGABLE GENOME
DACT2	DISHEVELLED BINDING ANTAGONIST OF BETA CATENIN 2	GO	TRANSCRIPTION FACTOR BINDING
TUBBP1	TUBULIN BETA PSEUDOGENE 1	RussLampel	DRUGGABLE GENOME
CRY2	CRYPTOCHROME CIRCADIAN CLOCK 2	HingoraniCasas	DRUGGABLE GENOME
CRY2	CRYPTOCHROME CIRCADIAN CLOCK 2	Pharos	TRANSCRIPTION FACTOR
CRY2	CRYPTOCHROME CIRCADIAN CLOCK 2	Pharos	NUCLEAR HORMONE RECEPTOR
PYCR1	PYRROLINE-5-CARBOXYLATE REDUCTASE 1	HumanProteinAtlas,Pharos	ENZYME
MLYCD	MALONYL-COA DECARBOXYLASE	GuideToPharmacology,HumanProteinAtlas	ENZYME
MLYCD	MALONYL-COA DECARBOXYLASE	HingoraniCasas	DRUGGABLE GENOME
FAM35A	FAMILY WITH SEQUENCE SIMILARITY 35 MEMBER A	GO	DNA REPAIR
INSL4	INSULIN LIKE 4	HingoraniCasas	DRUGGABLE GENOME
INSL4	INSULIN LIKE 4	GO	HORMONE ACTIVITY
STAR	STEROIDOGENIC ACUTE REGULATORY PROTEIN	GO	DRUG RESISTANCE
OR10D1P	OLFACTORY RECEPTOR FAMILY 10 SUBFAMILY D MEMBER 1 PSEUDOGENE	RussLampel	DRUGGABLE GENOME
SLC7A4	SOLUTE CARRIER FAMILY 7 MEMBER 4	GuideToPharmacology,Pharos	TRANSPORTER
SLC7A4	SOLUTE CARRIER FAMILY 7 MEMBER 4	RussLampel	DRUGGABLE GENOME
TRBD1	T CELL RECEPTOR BETA DIVERSITY 1	Pharos	TRANSCRIPTION FACTOR
TRBD1	T CELL RECEPTOR BETA DIVERSITY 1	Pharos	KINASE
OSR2	ODD-SKIPPED RELATED TRANSCIPTION FACTOR 2	Pharos	TRANSCRIPTION FACTOR
GCFC2	GC-RICH SEQUENCE DNA-BINDING FACTOR 2	Pharos	TRANSCRIPTION FACTOR
DCLK3	DOUBLECORTIN LIKE KINASE 3	HopkinsGroom,dGene,Pharos,IDG	KINASE
DCLK3	DOUBLECORTIN LIKE KINASE 3	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
DCLK3	DOUBLECORTIN LIKE KINASE 3	dGene,GO	SERINE THREONINE KINASE
DCLK3	DOUBLECORTIN LIKE KINASE 3	GuideToPharmacology	ENZYME
MGLL	MONOGLYCERIDE LIPASE	HingoraniCasas	DRUGGABLE GENOME
MGLL	MONOGLYCERIDE LIPASE	GuideToPharmacology	ENZYME
CPO	CARBOXYPEPTIDASE O	GuideToPharmacology	ENZYME
CPO	CARBOXYPEPTIDASE O	dGene,HopkinsGroom	PROTEASE
CPO	CARBOXYPEPTIDASE O	HopkinsGroom,RussLampel	DRUGGABLE GENOME
DNTT	DNA NUCLEOTIDYLEXOTRANSFERASE	Pharos	ENZYME
GPS2	G PROTEIN PATHWAY SUPPRESSOR 2	Pharos	KINASE
GPS2	G PROTEIN PATHWAY SUPPRESSOR 2	Pharos	NUCLEAR HORMONE RECEPTOR
GPS2	G PROTEIN PATHWAY SUPPRESSOR 2	Pharos	ENZYME
GPS2	G PROTEIN PATHWAY SUPPRESSOR 2	Tempus	CLINICALLY ACTIONABLE
IGHEP1	IMMUNOGLOBULIN HEAVY CONSTANT EPSILON P1 (PSEUDOGENE)	dGene	PROTEASE INHIBITOR
ITGB7	INTEGRIN SUBUNIT BETA 7	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
ITGB7	INTEGRIN SUBUNIT BETA 7	GO	CELL SURFACE
PRNP	PRION PROTEIN	HumanProteinAtlas	TRANSPORTER
PRNP	PRION PROTEIN	HumanProteinAtlas,GO	CELL SURFACE
PRNP	PRION PROTEIN	HingoraniCasas	DRUGGABLE GENOME
KCNAB2	POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY A REGULATORY BETA SUBUNIT 2	Pharos,IDG	ION CHANNEL
KCNAB2	POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY A REGULATORY BETA SUBUNIT 2	HopkinsGroom,RussLampel	DRUGGABLE GENOME
ALX1	ALX HOMEOBOX 1	Pharos	TRANSCRIPTION FACTOR
ALX1	ALX HOMEOBOX 1	GO	TRANSCRIPTION FACTOR COMPLEX
GALNT10	POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE 10	Pharos	ENZYME
OR5AP2	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY AP MEMBER 2	HopkinsGroom,Pharos,dGene,GO	G PROTEIN COUPLED RECEPTOR
OR5AP2	OLFACTORY RECEPTOR FAMILY 5 SUBFAMILY AP MEMBER 2	HopkinsGroom,RussLampel	DRUGGABLE GENOME
AOC3	AMINE OXIDASE, COPPER CONTAINING 3	GuideToPharmacology	ENZYME
AOC3	AMINE OXIDASE, COPPER CONTAINING 3	HingoraniCasas	DRUGGABLE GENOME
AOC3	AMINE OXIDASE, COPPER CONTAINING 3	GO	CELL SURFACE
SLCO1B1	SOLUTE CARRIER ORGANIC ANION TRANSPORTER FAMILY MEMBER 1B1	HumanProteinAtlas,Pharos,GuideToPharmacology	TRANSPORTER
SLCO1B1	SOLUTE CARRIER ORGANIC ANION TRANSPORTER FAMILY MEMBER 1B1	RussLampel,HingoraniCasas	DRUGGABLE GENOME
DDX3X	DEAD-BOX HELICASE 3, X-LINKED	HumanProteinAtlas	TRANSPORTER
DDX3X	DEAD-BOX HELICASE 3, X-LINKED	HumanProteinAtlas	ENZYME
DDX3X	DEAD-BOX HELICASE 3, X-LINKED	GO	TRANSCRIPTION FACTOR BINDING
DDX3X	DEAD-BOX HELICASE 3, X-LINKED	Tempus,FoundationOneGenes	CLINICALLY ACTIONABLE
DDX3X	DEAD-BOX HELICASE 3, X-LINKED	HingoraniCasas	DRUGGABLE GENOME
KIF11	KINESIN FAMILY MEMBER 11	HingoraniCasas	DRUGGABLE GENOME
TMX2	THIOREDOXIN RELATED TRANSMEMBRANE PROTEIN 2	HopkinsGroom	DRUGGABLE GENOME
TMX2	THIOREDOXIN RELATED TRANSMEMBRANE PROTEIN 2	HopkinsGroom	THIOREDOXIN
GRM5	GLUTAMATE METABOTROPIC RECEPTOR 5	dGene,HopkinsGroom,GO,GuideToPharmacology	G PROTEIN COUPLED RECEPTOR
GRM5	GLUTAMATE METABOTROPIC RECEPTOR 5	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
FLYWCH1	FLYWCH-TYPE ZINC FINGER 1	FoundationOneGenes	CLINICALLY ACTIONABLE
CNTNAP4	CONTACTIN ASSOCIATED PROTEIN LIKE 4	HopkinsGroom	FIBRINOGEN
CNTNAP4	CONTACTIN ASSOCIATED PROTEIN LIKE 4	HopkinsGroom	DRUGGABLE GENOME
JAG1	JAGGED 1	HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
JAG1	JAGGED 1	HopkinsGroom	G PROTEIN COUPLED RECEPTOR
JAG1	JAGGED 1	GO	GROWTH FACTOR
PSMC3IP	PSMC3 INTERACTING PROTEIN	Pharos	NUCLEAR HORMONE RECEPTOR
TAF15	TATA-BOX BINDING PROTEIN ASSOCIATED FACTOR 15	FoundationOneGenes,CarisMolecularIntelligence	CLINICALLY ACTIONABLE
TAF15	TATA-BOX BINDING PROTEIN ASSOCIATED FACTOR 15	HopkinsGroom,RussLampel	DRUGGABLE GENOME
ADCYAP1	ADENYLATE CYCLASE ACTIVATING POLYPEPTIDE 1	HingoraniCasas	DRUGGABLE GENOME
DPAGT1	DOLICHYL-PHOSPHATE N-ACETYLGLUCOSAMINEPHOSPHOTRANSFERASE 1	HumanProteinAtlas,Pharos	ENZYME
IP6K1	INOSITOL HEXAKISPHOSPHATE KINASE 1	Pharos,GO	KINASE
DDR2	DISCOIDIN DOMAIN RECEPTOR TYROSINE KINASE 2	Oncomine,FoundationOneGenes,MskImpact,CarisMolecularIntelligence,Tempus	CLINICALLY ACTIONABLE
DDR2	DISCOIDIN DOMAIN RECEPTOR TYROSINE KINASE 2	Pharos,dGene,HopkinsGroom	KINASE
DDR2	DISCOIDIN DOMAIN RECEPTOR TYROSINE KINASE 2	Pharos	TRANSCRIPTION FACTOR
DDR2	DISCOIDIN DOMAIN RECEPTOR TYROSINE KINASE 2	dGene	TYROSINE KINASE
DDR2	DISCOIDIN DOMAIN RECEPTOR TYROSINE KINASE 2	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
OR8D2	OLFACTORY RECEPTOR FAMILY 8 SUBFAMILY D MEMBER 2 (GENE/PSEUDOGENE)	HopkinsGroom,RussLampel	DRUGGABLE GENOME
OR8D2	OLFACTORY RECEPTOR FAMILY 8 SUBFAMILY D MEMBER 2 (GENE/PSEUDOGENE)	HopkinsGroom,GO,Pharos,dGene	G PROTEIN COUPLED RECEPTOR
ACADSB	ACYL-COA DEHYDROGENASE, SHORT/BRANCHED CHAIN	HumanProteinAtlas,Pharos	ENZYME
CCR5	C-C MOTIF CHEMOKINE RECEPTOR 5 (GENE/PSEUDOGENE)	GO	CELL SURFACE
CCR5	C-C MOTIF CHEMOKINE RECEPTOR 5 (GENE/PSEUDOGENE)	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
CCR5	C-C MOTIF CHEMOKINE RECEPTOR 5 (GENE/PSEUDOGENE)	HingoraniCasas,HopkinsGroom,RussLampel,RussLampel	DRUGGABLE GENOME
